label1	timestamp	label2	robot_id	label3	milestone
@@TS	44013	Robot	1	ExecCount	41
@@TS	45543	Robot	1	ExecCount	43
@@TS	45862	Robot	0	ExecCount	24
@@TS	46965	Robot	2	ExecCount	34
@@TS	47249	Robot	1	ExecCount	45
@@TS	49655	Robot	2	ExecCount	36
@@TS	50457	Robot	1	ExecCount	47
@@TS	51549	Robot	2	ExecCount	38
@@TS	54125	Robot	2	ExecCount	40
@@TS	54385	Robot	1	ExecCount	49
@@TS	55213	Robot	0	ExecCount	29
@@TS	55977	Robot	0	ExecCount	31
@@TS	57229	Robot	0	ExecCount	33
@@TS	57523	Robot	1	ExecCount	51
@@TS	58731	Robot	1	ExecCount	54
@@TS	59099	Robot	0	ExecCount	35
@@TS	59241	Robot	2	ExecCount	42
@@TS	59639	Robot	1	ExecCount	56
@@TS	62143	Robot	2	ExecCount	44
@@TS	62947	Robot	1	ExecCount	58
@@TS	63689	Robot	2	ExecCount	46
@@TS	64575	Robot	0	ExecCount	37
@@TS	64949	Robot	2	ExecCount	48
@@TS	65575	Robot	1	ExecCount	60
@@TS	66501	Robot	2	ExecCount	50
@@TS	67381	Robot	1	ExecCount	62
@@TS	68171	Robot	1	ExecCount	64
@@TS	69163	Robot	0	ExecCount	39
@@TS	69351	Robot	2	ExecCount	55
@@TS	69581	Robot	1	ExecCount	66
@@TS	69723	Robot	2	ExecCount	57
@@TS	71213	Robot	2	ExecCount	59
@@TS	73081	Robot	2	ExecCount	61
@@TS	73517	Robot	1	ExecCount	68
@@TS	74161	Robot	0	ExecCount	41
@@TS	76583	Robot	0	ExecCount	43
@@TS	77013	Robot	1	ExecCount	70
@@TS	78121	Robot	2	ExecCount	63
@@TS	78949	Robot	1	ExecCount	72
@@TS	79215	Robot	0	ExecCount	45
@@TS	80209	Robot	1	ExecCount	74
@@TS	82085	Robot	1	ExecCount	76
@@TS	82193	Robot	2	ExecCount	65
@@TS	84544	Robot	2	ExecCount	67
@@TS	85913	Robot	0	ExecCount	47
@@TS	86047	Robot	2	ExecCount	69
@@TS	87611	Robot	1	ExecCount	81
@@TS	88091	Robot	1	ExecCount	83
@@TS	88661	Robot	2	ExecCount	71
@@TS	88899	Robot	1	ExecCount	85
@@TS	90587	Robot	1	ExecCount	87
@@TS	92165	Robot	0	ExecCount	49
@@TS	93857	Robot	2	ExecCount	73
@@TS	94255	Robot	1	ExecCount	89
@@TS	95917	Robot	0	ExecCount	51
@@TS	96779	Robot	2	ExecCount	75
@@TS	97671	Robot	1	ExecCount	91
@@TS	97853	Robot	0	ExecCount	52
@@TS	98341	Robot	2	ExecCount	77
@@TS	99189	Robot	0	ExecCount	53
@@TS	99417	Robot	2	ExecCount	80
@@TS	100153	Robot	2	ExecCount	82
@@TS	100917	Robot	1	ExecCount	93
@@TS	102443	Robot	1	ExecCount	95
@@TS	103407	Robot	0	ExecCount	55
@@TS	104151	Robot	1	ExecCount	97
@@TS	105699	Robot	2	ExecCount	84
@@TS	106265	Robot	0	ExecCount	57
@@TS	107359	Robot	1	ExecCount	99
@@TS	108977	Robot	0	ExecCount	59
@@TS	109312	Robot	2	ExecCount	86
@@TS	111281	Robot	1	ExecCount	101
@@TS	111473	Robot	0	ExecCount	61
@@TS	112004	Robot	2	ExecCount	88
@@TS	113896	Robot	2	ExecCount	90
@@TS	114423	Robot	1	ExecCount	103
@@TS	114749	Robot	0	ExecCount	63
@@TS	115631	Robot	1	ExecCount	106
@@TS	116468	Robot	2	ExecCount	92
@@TS	116541	Robot	1	ExecCount	108
@@TS	118769	Robot	0	ExecCount	65
@@TS	119851	Robot	1	ExecCount	110
@@TS	121590	Robot	2	ExecCount	94
@@TS	122121	Robot	0	ExecCount	67
@@TS	122475	Robot	1	ExecCount	112
@@TS	124285	Robot	1	ExecCount	114
@@TS	124490	Robot	2	ExecCount	96
@@TS	125073	Robot	1	ExecCount	116
@@TS	126038	Robot	2	ExecCount	98
@@TS	126486	Robot	1	ExecCount	118
@@TS	127294	Robot	2	ExecCount	100
@@TS	127467	Robot	0	ExecCount	69
@@TS	128848	Robot	2	ExecCount	102
@@TS	130413	Robot	1	ExecCount	120
@@TS	131021	Robot	0	ExecCount	71
@@TS	131698	Robot	2	ExecCount	107
@@TS	132070	Robot	2	ExecCount	109
@@TS	133562	Robot	2	ExecCount	111
@@TS	133911	Robot	1	ExecCount	122
@@TS	134638	Robot	0	ExecCount	73
@@TS	135428	Robot	2	ExecCount	113
@@TS	135845	Robot	1	ExecCount	124
@@TS	137112	Robot	1	ExecCount	126
@@TS	137902	Robot	0	ExecCount	75
@@TS	138983	Robot	1	ExecCount	128
@@TS	140466	Robot	2	ExecCount	115
@@TS	141082	Robot	0	ExecCount	77
@@TS	143418	Robot	0	ExecCount	80
@@TS	144314	Robot	0	ExecCount	82
@@TS	144510	Robot	1	ExecCount	133
@@TS	144542	Robot	2	ExecCount	117
@@TS	144992	Robot	1	ExecCount	135
@@TS	145795	Robot	1	ExecCount	137
@@TS	146580	Robot	0	ExecCount	84
@@TS	146892	Robot	2	ExecCount	119
@@TS	147482	Robot	1	ExecCount	139
@@TS	148396	Robot	2	ExecCount	121
@@TS	149182	Robot	0	ExecCount	86
@@TS	151008	Robot	2	ExecCount	123
@@TS	151150	Robot	1	ExecCount	141
@@TS	151566	Robot	0	ExecCount	88
@@TS	154530	Robot	0	ExecCount	90
@@TS	154568	Robot	1	ExecCount	143
@@TS	156202	Robot	2	ExecCount	125
@@TS	157812	Robot	1	ExecCount	145
@@TS	159122	Robot	2	ExecCount	127
@@TS	159342	Robot	1	ExecCount	147
@@TS	159874	Robot	0	ExecCount	92
@@TS	160686	Robot	2	ExecCount	129
@@TS	161050	Robot	1	ExecCount	149
@@TS	161762	Robot	2	ExecCount	132
@@TS	162498	Robot	2	ExecCount	134
@@TS	164258	Robot	1	ExecCount	151
@@TS	164480	Robot	0	ExecCount	94
@@TS	168042	Robot	2	ExecCount	136
@@TS	168182	Robot	1	ExecCount	153
@@TS	168340	Robot	0	ExecCount	96
@@TS	171318	Robot	1	ExecCount	155
@@TS	171658	Robot	2	ExecCount	138
@@TS	171832	Robot	0	ExecCount	98
@@TS	172528	Robot	1	ExecCount	158
@@TS	173438	Robot	1	ExecCount	160
@@TS	174152	Robot	0	ExecCount	100
@@TS	174348	Robot	2	ExecCount	140
@@TS	176242	Robot	2	ExecCount	142
@@TS	176622	Robot	0	ExecCount	102
@@TS	176746	Robot	1	ExecCount	162
@@TS	178814	Robot	2	ExecCount	144
@@TS	179176	Robot	0	ExecCount	107
@@TS	179376	Robot	1	ExecCount	164
@@TS	179402	Robot	0	ExecCount	109
@@TS	181182	Robot	1	ExecCount	166
@@TS	181808	Robot	0	ExecCount	111
@@TS	181970	Robot	1	ExecCount	168
@@TS	183382	Robot	1	ExecCount	170
@@TS	183934	Robot	2	ExecCount	146
@@TS	184620	Robot	0	ExecCount	113
@@TS	186839	Robot	2	ExecCount	148
@@TS	187312	Robot	1	ExecCount	172
@@TS	188381	Robot	2	ExecCount	150
@@TS	189643	Robot	2	ExecCount	152
@@TS	190812	Robot	1	ExecCount	174
@@TS	191193	Robot	2	ExecCount	154
@@TS	192018	Robot	0	ExecCount	115
@@TS	192744	Robot	1	ExecCount	176
@@TS	194010	Robot	1	ExecCount	178
@@TS	194045	Robot	2	ExecCount	159
@@TS	194411	Robot	2	ExecCount	161
@@TS	195882	Robot	1	ExecCount	180
@@TS	195903	Robot	2	ExecCount	163
@@TS	197773	Robot	2	ExecCount	165
